Date,Description,Amount,Category
2023-12-21,Starbucks Coffee,-140.45,Food & Drinks
2023-12-22,Uber Ride,-215.96,Travel
2023-12-23,Dinner at Restaurant,-85.99,Food & Drinks
2023-12-24,Phone Bill,-114.28,Utilities
2023-12-24,Starbucks Coffee,-387.55,Food & Drinks
2023-12-24,Medical Bill,-328.98,Medical
2023-12-25,Netflix Subscription,-475.68,Subscription
2023-12-25,Spotify Subscription,-20.49,Subscription
2023-12-25,Online Course Payment,-212.77,Education
2023-12-26,Medical Bill,-201.81,Medical
2023-12-26,Groceries - Walmart,-492.07,Groceries
2023-12-26,Salary Credit,1641.49,Income
2023-12-27,Online Course Payment,-374.19,Education
2023-12-27,Netflix Subscription,-20.41,Subscription
2023-12-28,Spotify Subscription,-283.56,Subscription
2023-12-29,Electricity Bill,-83.83,Utilities
2023-12-29,Hotel Booking,-50.13,Travel
2023-12-29,Electricity Bill,-386.61,Utilities
2023-12-30,Car Repair,-381.71,Transportation
2023-12-30,Netflix Subscription,-399.41,Subscription
2023-12-31,Netflix Subscription,-96.8,Subscription
2024-01-01,Gas Station,-301.17,Transportation
2024-01-01,Spotify Subscription,-127.53,Subscription
2024-01-01,Dinner at Restaurant,-104.26,Food & Drinks
2024-01-02,Starbucks Coffee,-399.79,Food & Drinks
2024-01-03,Flight Ticket,-79.04,Travel
2024-01-03,Car Repair,-341.83,Transportation
2024-01-03,Car Repair,-242.57,Transportation
2024-01-04,Gym Membership,-149.37,Fitness
2024-01-04,Flight Ticket,-379.74,Travel
2024-01-04,Gym Membership,-454.37,Fitness
2024-01-05,Insurance Payment,-56.94,Insurance
2024-01-05,Hotel Booking,-55.88,Travel
2024-01-05,Gas Station,-75.54,Transportation
2024-01-06,Medical Bill,-176.28,Medical
2024-01-06,Electricity Bill,-9.84,Utilities
2024-01-07,Starbucks Coffee,-269.45,Food & Drinks
2024-01-08,Flight Ticket,-45.84,Travel
2024-01-09,Medical Bill,-182.11,Medical
2024-01-10,Starbucks Coffee,-488.85,Food & Drinks
2024-01-10,Gas Station,-348.13,Transportation
2024-01-10,Online Course Payment,-104.07,Education
2024-01-11,Spotify Subscription,-56.76,Subscription
2024-01-11,Phone Bill,-66.49,Utilities
2024-01-11,Gym Membership,-299.41,Fitness
2024-01-12,Freelance Payment,2225.89,Income
2024-01-13,Car Repair,-467.92,Transportation
2024-01-14,Medical Bill,-173.03,Medical
2024-01-14,Freelance Payment,2321.64,Income
2024-01-15,Netflix Subscription,-25.17,Subscription
2024-01-15,Amazon Shopping,-222.11,Shopping
2024-01-16,Spotify Subscription,-127.32,Subscription
2024-01-16,Flight Ticket,-242.24,Travel
2024-01-17,Insurance Payment,-488.05,Insurance
2024-01-17,Uber Ride,-373.42,Travel
2024-01-17,Insurance Payment,-85.03,Insurance
2024-01-18,Car Repair,-328.37,Transportation
2024-01-18,Groceries - Walmart,-498.19,Groceries
2024-01-19,Netflix Subscription,-45.36,Subscription
2024-01-20,Netflix Subscription,-114.18,Subscription
2024-01-20,Online Course Payment,-132.55,Education
2024-01-20,Spotify Subscription,-91.23,Subscription
2024-01-21,Medical Bill,-316.24,Medical
2024-01-22,Medical Bill,-254.9,Medical
2024-01-22,Car Repair,-434.18,Transportation
2024-01-23,Uber Ride,-19.55,Travel
2024-01-24,Uber Ride,-437.34,Travel
2024-01-24,Starbucks Coffee,-397.51,Food & Drinks
2024-01-25,Amazon Shopping,-496.11,Shopping
2024-01-25,Spotify Subscription,-195.0,Subscription
2024-01-25,Car Repair,-317.62,Transportation
2024-01-26,Salary Credit,1263.14,Income
2024-01-26,Electricity Bill,-205.63,Utilities
2024-01-26,Amazon Shopping,-122.58,Shopping
2024-01-27,Starbucks Coffee,-94.58,Food & Drinks
2024-01-27,Groceries - Walmart,-39.22,Groceries
2024-01-28,Online Course Payment,-298.49,Education
2024-01-29,Medical Bill,-298.51,Medical
2024-01-29,Gym Membership,-327.8,Fitness
2024-01-29,Starbucks Coffee,-429.7,Food & Drinks
2024-01-30,Salary Credit,2546.95,Income
2024-01-31,Online Course Payment,-121.16,Education
2024-02-01,Netflix Subscription,-223.8,Subscription
2024-02-01,Movie Ticket,-262.29,Entertainment
2024-02-02,Spotify Subscription,-415.3,Subscription
2024-02-02,Salary Credit,1898.87,Income
2024-02-03,Spotify Subscription,-354.85,Subscription
2024-02-03,Medical Bill,-192.78,Medical
2024-02-03,Phone Bill,-369.52,Utilities
2024-02-04,Spotify Subscription,-239.94,Subscription
2024-02-05,Spotify Subscription,-225.95,Subscription
2024-02-06,Online Course Payment,-281.28,Education
2024-02-06,Medical Bill,-138.53,Medical
2024-02-06,Starbucks Coffee,-65.87,Food & Drinks
2024-02-07,Medical Bill,-30.59,Medical
2024-02-08,Netflix Subscription,-228.84,Subscription
2024-02-09,Groceries - Walmart,-56.14,Groceries
2024-02-10,Gas Station,-345.66,Transportation
2024-02-10,Medical Bill,-493.38,Medical
2024-02-10,Phone Bill,-13.6,Utilities
2024-02-11,Car Repair,-486.68,Transportation
2024-02-12,Online Course Payment,-263.26,Education
2024-02-12,Spotify Subscription,-268.46,Subscription
2024-02-12,Flight Ticket,-76.05,Travel
2024-02-13,Amazon Shopping,-367.78,Shopping
2024-02-13,Electricity Bill,-485.11,Utilities
2024-02-14,Electricity Bill,-82.3,Utilities
2024-02-15,Groceries - Walmart,-481.86,Groceries
2024-02-15,Online Course Payment,-347.85,Education
2024-02-16,Phone Bill,-343.21,Utilities
2024-02-16,Car Repair,-125.85,Transportation
2024-02-16,Electricity Bill,-432.98,Utilities
2024-02-17,Spotify Subscription,-60.99,Subscription
2024-02-18,Gas Station,-459.75,Transportation
2024-02-19,Insurance Payment,-470.73,Insurance
2024-02-20,Movie Ticket,-327.36,Entertainment
2024-02-20,Starbucks Coffee,-499.71,Food & Drinks
2024-02-21,Dinner at Restaurant,-433.89,Food & Drinks
2024-02-21,Movie Ticket,-377.45,Entertainment
2024-02-22,Flight Ticket,-147.9,Travel
2024-02-23,Uber Ride,-327.0,Travel
2024-02-23,Gym Membership,-166.88,Fitness
2024-02-23,Gym Membership,-221.9,Fitness
2024-02-24,Car Repair,-439.56,Transportation
2024-02-24,Insurance Payment,-435.11,Insurance
2024-02-25,Freelance Payment,1011.52,Income
2024-02-26,Salary Credit,1732.92,Income
2024-02-26,Freelance Payment,2126.88,Income
2024-02-26,Insurance Payment,-197.34,Insurance
2024-02-27,Salary Credit,1475.09,Income
2024-02-28,Netflix Subscription,-117.5,Subscription
2024-02-29,Phone Bill,-303.71,Utilities
2024-02-29,Gas Station,-323.08,Transportation
2024-03-01,Gas Station,-252.72,Transportation
2024-03-01,Electricity Bill,-261.95,Utilities
2024-03-02,Spotify Subscription,-78.75,Subscription
2024-03-02,Movie Ticket,-292.19,Entertainment
2024-03-03,Phone Bill,-383.62,Utilities
2024-03-03,Gym Membership,-374.7,Fitness
2024-03-03,Spotify Subscription,-477.98,Subscription
2024-03-04,Phone Bill,-8.74,Utilities
2024-03-05,Online Course Payment,-125.52,Education
2024-03-05,Phone Bill,-193.14,Utilities
2024-03-05,Uber Ride,-467.55,Travel
2024-03-06,Insurance Payment,-55.2,Insurance
2024-03-06,Uber Ride,-132.1,Travel
2024-03-07,Online Course Payment,-268.47,Education
2024-03-07,Electricity Bill,-159.1,Utilities
2024-03-08,Car Repair,-202.95,Transportation
2024-03-08,Flight Ticket,-209.71,Travel
2024-03-09,Phone Bill,-66.0,Utilities
2024-03-10,Freelance Payment,2050.33,Income
2024-03-10,Freelance Payment,1590.56,Income
2024-03-11,Amazon Shopping,-96.69,Shopping
2024-03-12,Freelance Payment,2631.5,Income
2024-03-12,Spotify Subscription,-26.49,Subscription
2024-03-13,Online Course Payment,-475.94,Education
2024-03-13,Dinner at Restaurant,-397.9,Food & Drinks
2024-03-14,Amazon Shopping,-91.51,Shopping
2024-03-14,Amazon Shopping,-450.51,Shopping
2024-03-14,Movie Ticket,-280.54,Entertainment
2024-03-15,Groceries - Walmart,-154.52,Groceries
2024-03-15,Insurance Payment,-426.33,Insurance
2024-03-15,Freelance Payment,2335.1,Income
2024-03-16,Insurance Payment,-313.81,Insurance
2024-03-16,Salary Credit,1847.89,Income
2024-03-17,Online Course Payment,-121.44,Education
2024-03-18,Salary Credit,1433.48,Income
2024-03-18,Hotel Booking,-93.33,Travel
2024-03-19,Online Course Payment,-118.97,Education
2024-03-20,Phone Bill,-119.81,Utilities
2024-03-20,Gas Station,-317.85,Transportation
2024-03-20,Starbucks Coffee,-140.9,Food & Drinks
